"Date(UTC)","UnixTimeStamp","Value"
"7/31/2021","1627689600","0"
"8/1/2021","1627776000","0"
"8/2/2021","1627862400","0"
"8/3/2021","1627948800","0"
"8/4/2021","1628035200","0"
"8/5/2021","1628121600","0"
"8/6/2021","1628208000","0"
"8/7/2021","1628294400","0"
"8/8/2021","1628380800","0"
"8/9/2021","1628467200","0"
"8/10/2021","1628553600","0"
"8/11/2021","1628640000","0"
"8/12/2021","1628726400","0"
"8/13/2021","1628812800","0"
"8/14/2021","1628899200","0"
"8/15/2021","1628985600","0"
"8/16/2021","1629072000","0"
"8/17/2021","1629158400","0"
"8/18/2021","1629244800","0"
"8/19/2021","1629331200","0"
"8/20/2021","1629417600","0"
"8/21/2021","1629504000","0"
"8/22/2021","1629590400","0"
"8/23/2021","1629676800","0"
"8/24/2021","1629763200","0"
"8/25/2021","1629849600","0"
"8/26/2021","1629936000","0"
"8/27/2021","1630022400","0"
"8/28/2021","1630108800","0"
"8/29/2021","1630195200","0"
"8/30/2021","1630281600","0"
"8/31/2021","1630368000","0"
"9/1/2021","1630454400","0"
"9/2/2021","1630540800","0"
"9/3/2021","1630627200","0"
"9/4/2021","1630713600","0"
"9/5/2021","1630800000","0"
"9/6/2021","1630886400","0"
"9/7/2021","1630972800","0"
"9/8/2021","1631059200","0"
"9/9/2021","1631145600","0"
"9/10/2021","1631232000","0"
"9/11/2021","1631318400","0"
"9/12/2021","1631404800","0"
"9/13/2021","1631491200","0"
"9/14/2021","1631577600","0"
"9/15/2021","1631664000","0"
"9/16/2021","1631750400","0"
"9/17/2021","1631836800","0"
"9/18/2021","1631923200","0"
"9/19/2021","1632009600","0"
"9/20/2021","1632096000","0"
"9/21/2021","1632182400","0"
"9/22/2021","1632268800","0"
"9/23/2021","1632355200","0"
"9/24/2021","1632441600","0"
"9/25/2021","1632528000","0"
"9/26/2021","1632614400","0"
"9/27/2021","1632700800","0"
"9/28/2021","1632787200","0"
"9/29/2021","1632873600","0"
"9/30/2021","1632960000","0"
"10/1/2021","1633046400","0"
"10/2/2021","1633132800","0"
"10/3/2021","1633219200","0"
"10/4/2021","1633305600","0"
"10/5/2021","1633392000","0"
"10/6/2021","1633478400","0"
"10/7/2021","1633564800","0"
"10/8/2021","1633651200","0"
"10/9/2021","1633737600","0"
"10/10/2021","1633824000","0"
"10/11/2021","1633910400","0"
"10/12/2021","1633996800","0"
"10/13/2021","1634083200","0"
"10/14/2021","1634169600","0"
"10/15/2021","1634256000","0"
"10/16/2021","1634342400","0"
"10/17/2021","1634428800","0"
"10/18/2021","1634515200","0"
"10/19/2021","1634601600","0"
"10/20/2021","1634688000","0"
"10/21/2021","1634774400","0"
"10/22/2021","1634860800","0"
"10/23/2021","1634947200","0"
"10/24/2021","1635033600","0"
"10/25/2021","1635120000","0"
"10/26/2021","1635206400","0"
"10/27/2021","1635292800","0"
"10/28/2021","1635379200","0"
"10/29/2021","1635465600","0"
"10/30/2021","1635552000","0"
"10/31/2021","1635638400","0"
"11/1/2021","1635724800","0"
"11/2/2021","1635811200","0"
"11/3/2021","1635897600","0"
"11/4/2021","1635984000","0"
"11/5/2021","1636070400","0"
"11/6/2021","1636156800","0"
"11/7/2021","1636243200","0"
"11/8/2021","1636329600","0"
"11/9/2021","1636416000","0"
"11/10/2021","1636502400","0"
"11/11/2021","1636588800","711"
"11/12/2021","1636675200","30009"
"11/13/2021","1636761600","23402"
"11/14/2021","1636848000","28680"
"11/15/2021","1636934400","24282"
"11/16/2021","1637020800","41841"
"11/17/2021","1637107200","45970"
"11/18/2021","1637193600","43657"
"11/19/2021","1637280000","34463"
"11/20/2021","1637366400","29313"
"11/21/2021","1637452800","31205"
"11/22/2021","1637539200","35599"
"11/23/2021","1637625600","32060"
"11/24/2021","1637712000","31646"
"11/25/2021","1637798400","27847"
"11/26/2021","1637884800","45291"
"11/27/2021","1637971200","29753"
"11/28/2021","1638057600","36990"
"11/29/2021","1638144000","26287"
"11/30/2021","1638230400","37335"
"12/1/2021","1638316800","30050"
"12/2/2021","1638403200","30556"
"12/3/2021","1638489600","34696"
"12/4/2021","1638576000","52342"
"12/5/2021","1638662400","44626"
"12/6/2021","1638748800","45998"
"12/7/2021","1638835200","32904"
"12/8/2021","1638921600","39834"
"12/9/2021","1639008000","37800"
"12/10/2021","1639094400","43140"
"12/11/2021","1639180800","35612"
"12/12/2021","1639267200","31956"
"12/13/2021","1639353600","41082"
"12/14/2021","1639440000","53510"
"12/15/2021","1639526400","41980"
"12/16/2021","1639612800","29135"
"12/17/2021","1639699200","36229"
"12/18/2021","1639785600","33179"
"12/19/2021","1639872000","34678"
"12/20/2021","1639958400","35025"
"12/21/2021","1640044800","25266"
"12/22/2021","1640131200","31169"
"12/23/2021","1640217600","37113"
"12/24/2021","1640304000","40636"
"12/25/2021","1640390400","29829"
"12/26/2021","1640476800","41478"
