"Date(UTC)","UnixTimeStamp","Value"
"9/14/2021","1631577600","124495"
"9/15/2021","1631664000","136745"
"9/16/2021","1631750400","128495"
"9/17/2021","1631836800","77614"
"9/18/2021","1631923200","79071"
"9/19/2021","1632009600","76844"
"9/20/2021","1632096000","62969"
"9/21/2021","1632182400","66540"
"9/22/2021","1632268800","55432"
"9/23/2021","1632355200","59888"
"9/24/2021","1632441600","49999"
"9/25/2021","1632528000","48730"
"9/26/2021","1632614400","41324"
"9/27/2021","1632700800","38789"
"9/28/2021","1632787200","37341"
"9/29/2021","1632873600","36531"
"9/30/2021","1632960000","37560"
"10/1/2021","1633046400","36607"
"10/2/2021","1633132800","31722"
"10/3/2021","1633219200","31617"
"10/4/2021","1633305600","33217"
"10/5/2021","1633392000","31108"
"10/6/2021","1633478400","28683"
"10/7/2021","1633564800","26212"
"10/8/2021","1633651200","25912"
"10/9/2021","1633737600","36597"
"10/10/2021","1633824000","41559"
"10/11/2021","1633910400","37902"
"10/12/2021","1633996800","39015"
"10/13/2021","1634083200","32918"
"10/14/2021","1634169600","31659"
"10/15/2021","1634256000","34374"
"10/16/2021","1634342400","27880"
"10/17/2021","1634428800","35581"
"10/18/2021","1634515200","31372"
"10/19/2021","1634601600","36025"
"10/20/2021","1634688000","31422"
"10/21/2021","1634774400","27044"
"10/22/2021","1634860800","26192"
"10/23/2021","1634947200","24445"
"10/24/2021","1635033600","38788"
"10/25/2021","1635120000","26696"
"10/26/2021","1635206400","45962"
"10/27/2021","1635292800","51498"
"10/28/2021","1635379200","37721"
"10/29/2021","1635465600","33851"
"10/30/2021","1635552000","21005"
"10/31/2021","1635638400","25183"
"11/1/2021","1635724800","25769"
"11/2/2021","1635811200","24051"
"11/3/2021","1635897600","23020"
"11/4/2021","1635984000","20008"
"11/5/2021","1636070400","21539"
"11/6/2021","1636156800","20000"
"11/7/2021","1636243200","20533"
"11/8/2021","1636329600","22725"
"11/9/2021","1636416000","20942"
"11/10/2021","1636502400","29098"
"11/11/2021","1636588800","21954"
"11/12/2021","1636675200","22942"
"11/13/2021","1636761600","22352"
"11/14/2021","1636848000","22832"
"11/15/2021","1636934400","22207"
"11/16/2021","1637020800","26817"
"11/17/2021","1637107200","24849"
"11/18/2021","1637193600","22115"
"11/19/2021","1637280000","23953"
"11/20/2021","1637366400","40913"
"11/21/2021","1637452800","34871"
"11/22/2021","1637539200","32683"
"11/23/2021","1637625600","29368"
"11/24/2021","1637712000","29780"
"11/25/2021","1637798400","29682"
"11/26/2021","1637884800","33672"
"11/27/2021","1637971200","24535"
"11/28/2021","1638057600","31142"
"11/29/2021","1638144000","29027"
"11/30/2021","1638230400","29471"
"12/1/2021","1638316800","29514"
"12/2/2021","1638403200","25427"
"12/3/2021","1638489600","25410"
"12/4/2021","1638576000","32808"
"12/5/2021","1638662400","28492"
"12/6/2021","1638748800","30668"
"12/7/2021","1638835200","26940"
"12/8/2021","1638921600","35566"
"12/9/2021","1639008000","27253"
"12/10/2021","1639094400","28210"
"12/11/2021","1639180800","33508"
"12/12/2021","1639267200","31224"
"12/13/2021","1639353600","39851"
"12/14/2021","1639440000","28793"
"12/15/2021","1639526400","26855"
"12/16/2021","1639612800","20756"
"12/17/2021","1639699200","21004"
"12/18/2021","1639785600","20749"
"12/19/2021","1639872000","21604"
"12/20/2021","1639958400","22793"
"12/21/2021","1640044800","21277"
